报告日期,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30
资本公积(万元),1591150.0,1542556.0,1473431.0,1383462.0,1359657.0,1335842.0,1283200.0,1462908.0,1451119.0,1456093.0,1531174.0,1305839.0,1302488.0,1300537.0,1276085.0,1532682.0,1562079.0,1599414.0,301838.0,300569.0,303731.0,284583.0,242336.0,242759.0,247050.0,326139.0,328715.0,341828,217111.0,202797,173765,173956.0,179666,124774.0,25774.0,27696,26256.0,60104,58189,60245,60638,41810
减:库存股(万元),36684.0,36684.0,36684.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
专项储备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
盈余公积(万元),388223.0,280447.0,280447.0,280447.0,280447.0,184652.0,184652.0,184652.0,184652.0,118979.0,118979.0,118979.0,118979.0,56954.0,56954.0,56954.0,56954.0,6644.0,6644.0,6644.0,6644.0,,24025.0,24025.0,24025.0,26156.0,26156.0,12593,12593.0,3111,3111,2191.0,2191,0.0,0.0,0,0.0,0,0,0,0,0
一般风险准备(万元),36695.0,14860.0,14860.0,14860.0,14860.0,11862.0,11862.0,11862.0,11862.0,4052.0,4052.0,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
未分配利润(万元),4762724.0,4663789.0,4245104.0,4245798.0,3810539.0,3721695.0,3390545.0,3343708.0,2952983.0,2857004.0,2588211.0,2515645.0,2181432.0,2088530.0,1854248.0,1784384.0,1530499.0,1450867.0,1313747.0,1151217.0,1049064.0,1018190.0,955212.0,843113.0,900375.0,831235.0,786681.0,820396,768390.0,720372,649389,528341.0,489297,503676.0,484596.0,430332,390816.0,334916,319777,262217,241118,180600
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
外币报表折算差额(万元),,,,,,,,,,,,,,-43657.0,-36116.0,-30496.0,-33422.0,-30382.0,-31257.0,-31196.0,-28086.0,-23534.0,-30268.0,-24688.0,-22021.0,-113.0,7401.0,4300,5191.0,4439,2485,3683.0,3791,1930.0,461.0,-361,632.0,-8180,-8149,2804,2917,0
归属于母公司股东权益合计(万元),7373744.0,7121759.0,6631402.0,6553377.0,6112692.0,5838518.0,5533310.0,5385758.0,4920185.0,4768132.0,4615474.0,4293922.0,3947050.0,3808801.0,3572751.0,3512157.0,3284743.0,3195175.0,1690972.0,1527234.0,1431353.0,1379239.0,1291304.0,1185209.0,1249428.0,1283416.0,1248952.0,1279117,1103285.0,1030719,928750,808172.0,774945,730380.0,610832.0,557667,517704.0,486840,469817,425266,404673,272410
少数股东权益(万元),918773.0,903614.0,868088.0,889649.0,784977.0,756218.0,732603.0,712485.0,682977.0,638931.0,629468.0,643952.0,626096.0,608681.0,643059.0,658332.0,623313.0,604178.0,1919487.0,1972869.0,1885195.0,1836136.0,1753411.0,1795690.0,1765129.0,1636070.0,1557231.0,1528722,1151531.0,1096845,1018685,949139.0,883169,862244.0,671168.0,603915,597311.0,648853,622552,453103,452292,440364
所有者权益(或股东权益)合计(万元),8292517.0,8025373.0,7499489.0,7443026.0,6897670.0,6594735.0,6265913.0,6098243.0,5603162.0,5407063.0,5244943.0,4937874.0,4573146.0,4417482.0,4215810.0,4170488.0,3908056.0,3799353.0,3610460.0,3500103.0,3316549.0,3215375.0,3044715.0,2980899.0,3014557.0,2919486.0,2806183.0,2807839,2254817.0,2127564,1947435,1757311.0,1658114,1592624.0,1281999.0,1161581,1115014.0,1135693,1092370,878369,856965,712774
负债和所有者权益(或股东权益)总计(万元),24810686.0,24218328.0,23101649.0,22591439.0,17060071.0,16299161.0,16750275.0,14792259.0,12884194.0,13434627.0,14178269.0,13583093.0,12029209.0,11582287.0,11808956.0,11377342.0,9694602.0,9759282.0,9457205.0,9924152.0,8773653.0,9755599.0,9793220.0,9477976.0,9034514.0,10401714.0,9880829.0,9721328,7096036.0,7344598,6861000,6288145.0,5206583,4674450.0,4230524.0,3864114,3589866.0,3726771,3918170,3249713,2742111,2198565
